JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458370.31,19.636,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.917,Z,,,,M31_V1,,STD,,,,
2458371.33,19.584,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.650,Z,,,,M31_V1,,STD,,,,
2458373.37,19.691,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.337,Z,,,,M31_V1,,STD,,,,
2458377.35,19.633,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.388,Z,,,,M31_V1,,STD,,,,
2458379.34,18.928,0.022,,V,FTKB,,NA,,X23250DBQ,,0,1.415,Z,,,,M31_V1,,STD,,,,
2458381.36,18.486,0.011,,V,FTKB,,NA,,X23250DBQ,,0,1.320,Z,,,,M31_V1,,STD,,,,
2458382.32,18.557,0.011,,V,FTKB,,NA,,X23250DBQ,,0,1.500,Z,,,,M31_V1,,STD,,,,
2458387.29,18.851,0.018,,V,FTKB,,NA,,X23250DBQ,,0,1.654,Z,,,,M31_V1,,STD,,,,
2458388.29,18.914,0.022,,V,FTKB,,NA,,X23250DBQ,,0,1.655,Z,,,,M31_V1,,STD,,,,
2458389.32,18.94,0.022,,V,FTKB,,NA,,X23250DBQ,,0,1.405,Z,,,,M31_V1,,STD,,,,
2458396.33,19.314,0.072,,V,FTKB,,NA,,X23250DBQ,,0,1.251,Z,,,,M31_V1,,STD,,,,
2458397.29,19.361,0.072,,V,FTKB,,NA,,X23250DBQ,,0,1.447,Z,,,,M31_V1,,STD,,,,
2458398.38,19.428,0.09,,V,FTKB,,NA,,X23250DBQ,,0,1.095,Z,,,,M31_V1,,STD,,,,
2458401.27,19.537,0.09,,V,FTKB,,NA,,X23250DBQ,,0,1.531,Z,,,,M31_V1,,STD,,,,
2458402.31,19.794,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.261,Z,,,,M31_V1,,STD,,,,
